nama_tempat,alamat,tahun,latitude,longitude,kelurahan,kecamatan,type
LUCKY SQUARE MALL,JL. TERUSAN JAKARTA NO. 2,2021,-6.912789341821708,107.64485622644148,Babakan Surabaya,Kiaracondong,tourism_shopping_place
PISET SQUARE,JL. PELAJAR PEJUANG 45 NO. 119,2021,-6.933279379222399,107.6258017895552,Turangga,Lengkong,tourism_shopping_place
MD PLAZA,JL. OTTO ISKANDAR DINATA,2021,-6.916555956458383,107.60401937657836,Braga,Sumur Bandung,tourism_shopping_place
YOGYA JUNCTION,JL. SUMATERA,2021,-6.906621122123139,107.6120481953328,Merdeka,Sumur Bandung,tourism_shopping_place
UJUNG BERUNG TOWN SQUARE,JL. A. H. NASUTION NO. 46A,2021,-6.914178822557875,107.69661601066169,Pakemitan,Cinambo,tourism_shopping_place
METRO TRADE CENTER,SEKEJATI BUAH BATU,2021,-6.9430663913270205,107.65887223541534,Sekejati,Buahbatu,tourism_shopping_place
METRO INDAH MALL,JL. SOEKARNO HATTA JL. MTC BARAT NO. 590,2021,-6.9430663913270205,107.65887223541534,Sekejati,Buahbatu,tourism_shopping_place
JAYA PLAZA,JL. JEND. AHMAD YANI NO. 238,2021,-6.917657329259269,107.62659842430485,Kacapiring,Batununggal,tourism_shopping_place
THE PLAZA IBCC,JL. JEND AHMAD YANI NO. 296,2021,-6.915313975997785,107.63342472235416,Kacapiring,Batununggal,tourism_shopping_place
ITC KEBON KELAPA,JL. MOH. TOHA JL. PUNGKUR,2021,-6.915313975997785,107.63342472235416,Kacapiring,Batununggal,tourism_shopping_place
RAJAWALI PLAZA,JL. RAJAWALI TIMUR NO. 27,2021,-6.915876683103376,107.58891379324648,Ciroyom,Andir,tourism_shopping_place
BUAH BATU SQUARE,JL. RAYA BOJONGSOANG NO. 321,2021,-6.966452513855623,107.63804152790944,Cipagalo,Bandung Wetan,tourism_shopping_place
RAMAYANA,JL. ASTANA ANYAR NO. 186,2021,-6.92688126311042,107.5998676354403,Karanganyar,Astanaanyar,tourism_shopping_place
YOGYA SUNDA,JL. SUNDA NO. 60,2021,-6.9178196094115565,107.61826415056704,Kebon Pisang,Sumur Bandung,tourism_shopping_place
