kecamatan,nama_taman,luas,type
BANDUNG WETAN,TAMAN CIKAPAYANG/BADAK SINGA,846.34,city_park
BANDUNG WETAN,TAMAN GAJAH LUMANTUNG,807.05,city_park
BANDUNG WETAN,TAMAN NYLAND,783.75,city_park
BANDUNG WETAN,TAMAN RASAMALA,756.99,city_park
BANDUNG WETAN,TAMAN JL. DIPONEGORO - JL. TRUNOJOYO,709.18,city_park
BANDUNG WETAN,TAMAN CIBEUNYING BANK NISP,688.25,city_park
BANDUNG WETAN,TAMAN CIPUNAGARA,688,city_park
BANDUNG WETAN,TAMAN CIBEUNYING PARK,488.25,city_park
BANDUNG WETAN,JALUR HIJAU JALAN CITARUM,436.66,city_park
BANDUNG WETAN,TAMAN CENDANA,392.47,city_park
BANDUNG WETAN,TAMAN SKANDA/GANESHA,312.8,city_park
BANDUNG WETAN,TAMAN SKATE PARK,300,city_park
BANDUNG WETAN,TAMAN WASTUKANCANA/TAMANSARI,280,city_park
BANDUNG WETAN,TAMAN DKK SUPRATMAN,264.5,city_park
BANDUNG WETAN,BAK BUNGA NANGKASUNI,247,city_park
BANDUNG WETAN,TAMAN DEPAN GALERIA BIP SUMATERA/SULAWESI,200.9,city_park
BANDUNG WETAN,TAMAN PROGO,172,city_park
BANDUNG WETAN,TAMAN WASKA/PURNAWARMAN (TEXAS),144.9,city_park
BANDUNG WETAN,TAMAN WASKA PANGLIMA,137.4,city_park
BANDUNG WETAN,PULAU JALAN BALUBUR,131.6,city_park
BANDUNG WETAN,TAMAN WASKA/PAJAJARAN (MACAN),127.5,city_park
BANDUNG WETAN,PULAU JALAN TAMANSARI/UNISBA,127.1,city_park
BANDUNG WETAN,TAMAN BALUBUR/TAMANSARI,117.3,city_park
BANDUNG WETAN,TAMAN WASKA/TAMANSARI,81.49,city_park
BANDUNG WETAN,TAMAN SALAM PUSKESMAS,63.5,city_park
BANDUNG WETAN,PULAU JALAN SENTOT,16.04,city_park
BANDUNG WETAN,TAMAN FILM,-,city_park
BANDUNG WETAN,TAMAN MALUKU,24023.24,city_park
BATUNUNGGAL,STADION PERSIB,23005.05,city_park
BATUNUNGGAL,TAMAN ANYER,2814,city_park
BATUNUNGGAL,TAMAN KEBON WARU I,1901.2,city_park
BATUNUNGGAL,TAMAN SALENDRO TIMUR,472,city_park
BATUNUNGGAL,TAMAN PULAU JALAN GATOT SUBROTO/LASWI,428.4,city_park
BATUNUNGGAL,TAMAN PULAU JALAN LASWI,234.4,city_park
BATUNUNGGAL,TAMAN KEBON WARU II,234.2,city_park
BATUNUNGGAL,BAK BUNGA GATOT SUBROTO/LASWI,84.6,city_park
BOJONGLOA KALER,JALUR HIJAU PETA,2464.46,city_park
BOJONGLOA KALER,TAMAN KOPO KENCANA,1249.7,city_park
BOJONGLOA KALER,TAMAN TRITISAN KENCANA,956,city_park
BOJONGLOA KALER,TAMAN RUKO KENCANA,876.82,city_park
BOJONGLOA KALER,TAMAN LINGKAR SELATAN/PASIRKOJA,852.25,city_park
BOJONGLOA KALER,JALUR HIJAU JAMIKA,820,city_park
BOJONGLOA KALER,TAMAN BABAKAN TAROGONG,616,city_park
BOJONGLOA KALER,TAMAN PAYUNG KENCANA,605,city_park
BOJONGLOA KALER,TAMAN PASEBAN/KENCANA TIMUR,418,city_park
BOJONGLOA KALER,TAMAN SUDIRMAN/JAMIKA,286.6,city_park
BOJONGLOA KALER,TAMAN PAGARSIH/JAMIKA,151,city_park
BOJONGLOA KALER,JALUR HIJAU UNDAK KENCANA,84,city_park
BOJONGLOA KALER,TAMAN RW.04 KEL. KOPO,80,city_park
BOJONGLOA KALER,TAMAN BOJONGLOA / TUKANG RAMPE,68,city_park
BOJONGLOA KALER,TAMAN BABAKAN CIPARAY,35,city_park
BOJONGLOA KALER,TAMAN TITISAN KENCANA,16,city_park
BOJONGLOA KIDUL,TAMAN CIBADUYUT/SOEKARNO HATTA,182.5,city_park
