nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,kategori_resto_encoded,price_range_encoded,dataset_version,training_date,success_category,composite_score
BANDUNG COFFEE BEER,JL. CIROYOM BAR. NO.34,andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Cafe,8,1,2.0,enriched_v1.0,2025-07-09,High,0.7000906801007556
TERAS HAFID CREW,JL. RAJAWALI TIMUR JL. TARUNA NO.04,andir,4.8,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,52,8,2.0,enriched_v1.0,2025-07-09,High,0.6664206549118387
GRILLNESIA,"PASKAL HYPER SQUARE, RUKO A, JL. PASIR KALIKI NO.21",andir,4.6,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Western Food,565,10,2.0,enriched_v1.0,2025-07-09,Medium,0.6469269521410578
GRILL GARDEN,"PASKAL HYPER SQUARE, JL. PASIR KALIKI NO.23",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Western Food,176,10,2.0,enriched_v1.0,2025-07-09,High,0.705168765743073
NASI BAKAR NANBU SOKO BY REYSALSA KITCHEN,JL. GUDANG SELATAN NO.87A,sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Local Food,254,7,2.0,enriched_v1.0,2025-07-09,Low,0.5675264483627204
SATE - GULE - SOTO GUJES,JL. GUDANG SELATAN NO.87,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,155,8,2.0,enriched_v1.0,2025-07-09,High,0.7045340050377833
"WAROENG SPESIAL SAMBAL ""SS"" BAWEAN",JL. BAWEAN NO.1,sumur bandung,4.2,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,480,8,2.0,enriched_v1.0,2025-07-09,Low,0.5743576826196473
LANEO CAFE & EATERY BANDUNG,JL. JAWA NO.46/48,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,231,1,2.0,enriched_v1.0,2025-07-09,Medium,0.654331234256927
BASO SLOWI JL. GUDANG SELATAN,JL. GUDANG SELATAN NO.31,sumur bandung,4.7,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,710,8,2.0,enriched_v1.0,2025-07-09,High,0.6688098236775818
NASI GORENG KRISTIN CHINESE FOOD HALAL,JL. GUDANG SELATAN NO.98,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,4315,7,2.0,enriched_v1.0,2025-07-09,Medium,0.6377770780856422
WARUNG BAROKAH,JL. SUMBAWA NO.8,sumur bandung,4.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,751,7,2.0,enriched_v1.0,2025-07-09,Low,0.5475491183879092
