nama,alamat,kecamatan,google_rating,price_range_rupiah,business_status,processed_at,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman
JUSTUS STEAK HOUSE JAWA,JL. JAWA NO.50,sumur bandung,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:11,38323.0,3.49,10980.8,4.0,19.0,38.0
STEAK HOTEL BY HOLYCOW! TKP BANDUNG,JL. ANGGREK NO.29,sumur bandung,4.8,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:12,38323.0,3.49,10980.8,4.0,19.0,38.0
FUEGO ROASTHOUSE & NORGE PARLOR,JL. BANDA NO.4,sumur bandung,4.8,,OPERATIONAL,2025-06-28 21:24:14,38323.0,3.49,10980.8,4.0,19.0,38.0
TAMIKO BY TAMI YAKITORI,JL. ANGGREK NO.34,sumur bandung,4.8,,OPERATIONAL,2025-06-28 21:24:15,38323.0,3.49,10980.8,4.0,19.0,38.0
NICHI IZAKAYA & DEN KAISEKI,JL. SUMBAWA NO.12,sumur bandung,4.9,,OPERATIONAL,2025-06-28 21:24:16,38323.0,3.49,10980.8,4.0,19.0,38.0
ROOTS RESTO & LOUNGE,JL. GUDANG SELATAN NO.22,sumur bandung,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:18,38323.0,3.49,10980.8,4.0,19.0,38.0
SOUTH GARDEN,JL. GUDANG SELATAN NO.88,sumur bandung,4.8,,OPERATIONAL,2025-06-28 21:24:19,38323.0,3.49,10980.8,4.0,19.0,38.0
SUNDAY BOWL CEREAL CLUB,JL. KEMUNING NO.8,sumur bandung,4.6,Rp 50.000 - 100.000,CLOSED_PERMANENTLY,2025-06-28 21:24:20,38323.0,3.49,10980.8,4.0,19.0,38.0
AYAKABE HOUSE OF WARAU,JL. GUDANG SELATAN,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:24:21,38323.0,3.49,10980.8,4.0,19.0,38.0
VAN HENGEL CATERING,JL. BELITUNG NO.3,sumur bandung,4.8,,OPERATIONAL,2025-06-28 21:24:22,38323.0,3.49,10980.8,4.0,19.0,38.0
SITE COFFEE BANDUNG,JL. KALIMANTAN NO.1,sumur bandung,4.6,,OPERATIONAL,2025-06-28 21:24:24,38323.0,3.49,10980.8,4.0,19.0,38.0
DORI ID ASIA AFRIKA,JL. ASIA AFRIKA NO.129,sumur bandung,5.0,,CLOSED_PERMANENTLY,2025-06-28 21:24:25,38323.0,3.49,10980.8,4.0,19.0,38.0
BEEF BULGOGI CHICKEN GALBI,"FOODLIFE TOSERBA YOGYA SUNDA, JL. SUNDA NO.60",sumur bandung,4.2,,OPERATIONAL,2025-06-28 21:24:26,38323.0,3.49,10980.8,4.0,19.0,38.0
ROEMAH LEGIT,JL. EMBONG NO.15,sumur bandung,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:27,38323.0,3.49,10980.8,4.0,19.0,38.0
AYAM GEPREK REMPAH NARIPAN,JL. NARIPAN NO.34,sumur bandung,1.6,,OPERATIONAL,2025-06-28 21:24:29,38323.0,3.49,10980.8,4.0,19.0,38.0
MEATSOLOGIST STEAK HALL,"THE HALLWAY SPACE, PS. KOSAMBI, JL. A. YANI LANTAI 2",sumur bandung,4.2,,OPERATIONAL,2025-06-28 21:24:33,38323.0,3.49,10980.8,4.0,19.0,38.0
28 KOPI,JL. VETERAN NO.28,sumur bandung,4.8,,OPERATIONAL,2025-06-28 21:24:34,38323.0,3.49,10980.8,4.0,19.0,38.0
PIZZA RIVERSIDE,JL. VETERAN NO.37,sumur bandung,4.471320754716982,,OPERATIONAL,2025-06-28 21:24:35,38323.0,3.49,10980.8,4.0,19.0,38.0
SOP BUNTUT SAPI HJ. INE,"JL. A. YANI NO.29B, RT.001/RW.002",sumur bandung,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:36,38323.0,3.49,10980.8,4.0,19.0,38.0
SATE BANG ROHIM NARIPAN,JL. NARIPAN NO.57-61,sumur bandung,4.8,,OPERATIONAL,2025-06-28 21:24:37,38323.0,3.49,10980.8,4.0,19.0,38.0
KITCHEN HUB,JL. SUNDA NO.69,sumur bandung,4.7,,OPERATIONAL,2025-06-28 21:24:38,38323.0,3.49,10980.8,4.0,19.0,38.0
SOONYOTO,PS. KOSAMBI,sumur bandung,4.471320754716982,,OPERATIONAL,2025-06-28 21:24:40,38323.0,3.49,10980.8,4.0,19.0,38.0
NATUNA SEAFOOD,JL. NATUNA NO.7,sumur bandung,4.6,,OPERATIONAL,2025-06-28 21:24:41,38323.0,3.49,10980.8,4.0,19.0,38.0
ANEKA 38 SEAFOOD BANDUNG,JL. SUMATERA NO.18,sumur bandung,4.8,,OPERATIONAL,2025-06-28 21:24:42,38323.0,3.49,10980.8,4.0,19.0,38.0
GLUTEN FREE COOKIES NOII'S KITCHEN,JL. EMBONG NO.16,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:24:43,38323.0,3.49,10980.8,4.0,19.0,38.0
BATAGOR KINGSLEY,JL. VETERAN NO.25,sumur bandung,4.2,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:44,38323.0,3.49,10980.8,4.0,19.0,38.0
ACUS DAPUR NUSANTARA,"RUKO ITC KOSAMBI, JL. BARANANG SIANG NO.12 BLOK G",sumur bandung,4.2,,OPERATIONAL,2025-06-28 21:24:45,38323.0,3.49,10980.8,4.0,19.0,38.0
WARTEG IBU BROTO,"3JM9+2M3, ALUN ALUN BELAKANG JIWASRAYA",sumur bandung,4.5,,OPERATIONAL,2025-06-28 21:24:46,38323.0,3.49,10980.8,4.0,19.0,38.0
WARUNG NASI BU CUCU,"3JJ9+FQW, JL. BARANANG SIANG",sumur bandung,4.471320754716982,,OPERATIONAL,2025-06-28 21:24:48,38323.0,3.49,10980.8,4.0,19.0,38.0
NASI GORENG KAMBING PUTRA BANYUMAS,"ITC KOSAMBI, DPAN, JL. BARANANG SIANG",sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:24:49,38323.0,3.49,10980.8,4.0,19.0,38.0
MIE BASO CEKER LESGAR,"PS. KOSAMBI, DEPAN, JL. BARANANG SIANG NO.1",sumur bandung,4.6,,OPERATIONAL,2025-06-28 21:24:50,38323.0,3.49,10980.8,4.0,19.0,38.0
MIE BASO SAPI MANG EMAN,JL. BARANANG SIANG NO.4,sumur bandung,4.7,,OPERATIONAL,2025-06-28 21:24:51,38323.0,3.49,10980.8,4.0,19.0,38.0
MIE BASO CAMPUR BUNGSU,JL. VETERAN NO.46,sumur bandung,4.6,,OPERATIONAL,2025-06-28 21:24:52,38323.0,3.49,10980.8,4.0,19.0,38.0
BAKSO KUMKUM,JL. SURAREJA,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:24:53,38323.0,3.49,10980.8,4.0,19.0,38.0
