nama,alamat,kecamatan,type,latitude,longitude,tahun,source_file,kecamatan_kepadatan,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²)
MERDEKA ARCADE FACTORY OUTLET,JL. MERDEKA NO. 35,Bandung Wetan,tourism_shopping,-6.90627142405612,107.61051262087368,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
MORNING DEW FACTORY OUTLET,JL. IR. H. JUANDA NO. 81,Coblong,tourism_shopping,-6.893907569742586,107.611940791486,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
PABERIK BADJOE FACTORY OUTLET,JL. SOEKARNO HATTA NO. 573,Batununggal,tourism_shopping,-6.941533483597855,107.63848041889923,2021,cleaned_objek_wisata_belanja.csv,Batununggal,121469.0,4.82,25201.04
BANDARBAJU.COM PUSAT BISNIS BAJU MURAH BANDUNG,JL. ANGKASA MEKAR NO. 88,Babakan Ciparay,tourism_shopping,-6.957374186500854,107.59012380428751,2021,cleaned_objek_wisata_belanja.csv,Babakan Ciparay,143651.0,7.07,20318.39
FACTORY OUTLET STORE,JL. DR. SETIABUDI 73,Cidadap,tourism_shopping,-6.87053744092307,107.5940868594795,2021,cleaned_objek_wisata_belanja.csv,Cidadap,54680.0,8.42,6494.06
THE SECRET FACTORY OUTLET,JL. L. L. R. E. MARTADINATAÂ  NO. 47,Bandung Wetan,tourism_shopping,-6.904341501026932,107.61460880065005,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
CARGO FACTORY OUTLET,JL. DIPONEGORO NO. 30,Cibeunying Kaler,tourism_shopping,-6.899910912083527,107.6220760149725,2021,cleaned_objek_wisata_belanja.csv,Cibeunying Kaler,70662.0,4.64,15228.88
ANAKECIL FACTORY OUTLET,JL. HAYAM WURUK NO. 32,Bandung Wetan,tourism_shopping,-6.902041250680221,107.62035941582116,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
HERITAGE THE FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 63-65,Bandung Wetan,tourism_shopping,-6.904086411492033,107.61718370032496,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
PASSION FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 36,Bandung Wetan,tourism_shopping,-6.905668433280177,107.61664414888116,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
EST FACTORY OUTLET,JL. SUMATERA NO. 28-30,Sumur Bandung,tourism_shopping,-6.916087641641674,107.61391375120031,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
DSE FACTORY OUTLET,JL. MERDEKA NO. 35,Sumur Bandung,tourism_shopping,-6.907861945781902,107.61016158072113,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
ADIDAS OUTLET STORE,JL. SOEKARNO HATTA NO. 57355,Batununggal,tourism_shopping,-6.945820849775246,107.63874392149508,2021,cleaned_objek_wisata_belanja.csv,Batununggal,121469.0,4.82,25201.04
THE CROWN PREMIUM OUTLETS,JL. L. L. R. E. MARTADINATA NO. 51,Bandung Wetan,tourism_shopping,-6.90639141247417,107.61504971910932,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
ADIDAS OUTLET DAGO,JL. IR H. JUANDA NO. 123,Coblong,tourism_shopping,-6.890279955952941,107.61339052843395,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
EIGER,JL. PELAJAR PEJUANG 45 NO. 112,Lengkong,tourism_shopping,-6.93251141208714,107.62307514112626,2021,cleaned_objek_wisata_belanja.csv,Lengkong,71000.0,5.91,12013.54
EIGER ADVENTURE CIHAMPELAS,JL. CIHAMPELAS NO. 22,Bandung Wetan,tourism_shopping,-6.90398199964887,107.60461201101285,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
PEGASHOES,JL. KEMBANG SAPATU NO. 3,Sumur Bandung,tourism_shopping,-6.917630849245296,107.6245878965211,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
FO RIAU STOK MALL,JL. L. L. R. E. MARTADINATA NO. 160,Bandung Wetan,tourism_shopping,-6.912518306702773,107.6291368858317,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
EXPORT STATION,JL. SUMATERA NO. 24-30,Sumur Bandung,tourism_shopping,-6.914566983084818,107.61395944297708,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
FS BODYPACK EIGER STORE DAGO,JL. IR. H. JUANDA NO. 88,Coblong,tourism_shopping,-6.89471339141491,107.61327236979164,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
CONSINA STORE BANDUNG,JL. LENGKONG BESAR NO. 79,Lengkong,tourism_shopping,-6.925321832006346,107.6123781586149,2021,cleaned_objek_wisata_belanja.csv,Lengkong,71000.0,5.91,12013.54
ISTANA SEPATU,JL. DALEM KAUM NO. 25,Regol,tourism_shopping,-6.921761034164259,107.60481619141464,2021,cleaned_objek_wisata_belanja.csv,Regol,80609.0,4.74,17006.12
ISTANA SEPATU MERDEKA,JL. MERDEKA NO. 23A,Sumur Bandung,tourism_shopping,-6.909031604124932,107.6104479551268,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
EIGER SUMATERA,JL. SUMATERA NO. 23,Sumur Bandung,tourism_shopping,-6.915838350397886,107.61338908638176,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
THE SAPARUA,JL. AMBON NO. 15,Bandung Wetan,tourism_shopping,-6.907073430112584,107.61679002283245,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
CASCADE FASHION HOUSE AND HOME LIVING,JL. L. L. R. E. MARTADINATA NO. 65,Bandung Wetan,tourism_shopping,-6.905507734477263,107.61738010469917,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
UNDER ARMOUR BANDUNG,JL. IR. H. JUANDA NO. 23,Bandung Wetan,tourism_shopping,-6.904552125190411,107.61046809552263,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
TERMINAL TAS,JL. L. L. R. E. MARTADINATA NO. 32,Bandung Wetan,tourism_shopping,-6.905681029509282,107.61631843989504,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
IBC JEANS & FACTORY OUTLET,JL. CIHAMPELAS NO. 114,Bandung Wetan,tourism_shopping,-6.897148511325782,107.604214512886,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
DEARUMMANIS FACTORY OUTLET,JL. CIHAMPELAS NO. 144,Coblong,tourism_shopping,-6.895486917998204,107.60421449881454,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
NIKE FACTORY STORE,JL. IR. H. JUANDA NO. 145,Coblong,tourism_shopping,-6.888811226155463,107.6128195308568,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
EPISODE,JL. IR. H. JUANDA NO. 125,Coblong,tourism_shopping,-6.89142587388843,107.61278572240374,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
MACADAMIA LITTLE GLAMZ,JL. BAHUREKSA NO.12,Bandung Wetan,tourism_shopping,-6.905373266499163,107.61446943114248,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
RABBANI KEMKO BUAH BATU,JL. BUAH BATU NO. 150,Lengkong,tourism_shopping,-6.937375940087906,107.62300645122797,2021,cleaned_objek_wisata_belanja.csv,Lengkong,71000.0,5.91,12013.54
GANI FACTORY OUTLET,JL. A.H. NASUTION KM 10 NO. 6-8,Ujungberung,tourism_shopping,-6.912032535092137,107.69169095631952,2021,cleaned_objek_wisata_belanja.csv,Ujungberung,90562.0,6.24,14513.14
HOUSE OF DONATELLO,JL. IR. H. JUANDA NO. 104,Coblong,tourism_shopping,-6.89234104056075,107.61346546433096,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
FACTORY OUTLET TOMKINS,JL. GEDEBAGE SELATAN NO. 95,Gedebage,tourism_shopping,-6.946721209427769,107.68908069175131,2021,cleaned_objek_wisata_belanja.csv,Gedebage,42071.0,9.96,4224.0
HYPESTORE,JL. CIHAMPELAS NO. 178,Coblong,tourism_shopping,-6.890222261711635,107.60362729289436,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
C29 FACTORY OUTLET,JL. CIGONDEWAH KIDUL NO. 29,Bandung Kulon,tourism_shopping,-6.929223077212588,107.5649511758082,2021,cleaned_objek_wisata_belanja.csv,Bandung Kulon,136622.0,6.95,19657.84
PUMA OUTLET,JL. IR. H. JUANDA NO. 119,Coblong,tourism_shopping,-6.891180218316193,107.61247443290858,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
FACTORY OUTLET JBA,JL. TERUSAN KIPO KM. 13 NO. 367,Bandung Wetan,tourism_shopping,-7.008748283355581,107.55110083463344,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
DEMOSS WISATA BERBELANJA BUAH BATU,JL. BUAH BATU NO. 149,Lengkong,tourism_shopping,-6.9376468884924725,107.6243044953762,2021,cleaned_objek_wisata_belanja.csv,Lengkong,71000.0,5.91,12013.54
PERAHU JEANS FASHION OUTLET,JL. CIHAMPELAS,Coblong,tourism_shopping,-6.895485724104602,107.6039751223515,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
MINIMAL RUMAH MODE,JL. DR. SETIABUDI NO. 41,Sukasari,tourism_shopping,-6.882740667366009,107.59984082444936,2021,cleaned_objek_wisata_belanja.csv,Sukasari,77576.0,6.36,12197.48
