nama,alamat,kecamatan,type,latitude,longitude,tahun,source_file,kecamatan_kepadatan,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²)
BOONKIES DESSERT & PATISSERIE,LLRE MARTADINATA ST NO.205,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LETSGO GELATO BENGAWAN,JL. BENGAWAN NO.29,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BUTTERPIE BANDUNG,JL. CENDANA NO.17,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SEROJA BAKE,JL. CIHAPIT NO.21C,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LOVE DIM SUM,3JWF+QCQ,Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Bandung Wetan,28848.0,3.44,8386.05
FOODPEDIA SUPRATMAN,JL. SUPRATMAN NO.37,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
FISH BOX BENGAWAN,JL. BENGAWAN NO.7A,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
1ST FIRST CAFE SEA FOOD,CILAKI ST NO.57,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PARIT 9 SEAFOOD,JL. ANGGREK NO.61,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HDL 293 SEAFOOD,CILAKI ST NO.36,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
FONDU CAKERY,JL. NANAS NO.13,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WIDURI RESTAURANT,JL. CILIWUNG NO.19,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LE VON BOULANGERIE,JL. TAMAN PRAMUKA NO.157,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
GAYA BRASSERIE,LLRE MARTADINATA ST NO.133,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
"HEY, HOTDOG!",JL. TAMAN CIBEUNYING UTARA NO.8,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
XIANGLA HOTPOT,LLRE MARTADINATA ST NO.187,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KUO TIE AYAM,JL. NANAS NO.11,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BATAGOR DAN BASO CUANKIE SERAYU,SERAYU ST NO.2,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SANGKARASA,LLRE MARTADINATA ST NO.193,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SATE ANGGREK,JL. ANGGREK NO.35,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
TSUKUMA COFFEE BAR & IZAKAYA BANDUNG,JL. BENGAWAN NO.62,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KEMILAO,"PS. CIHAPIT, JL. CIHAPIT.32 BLOK A9-10",Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
THE GREAT MEAT,LLRE MARTADINATA ST NO.102,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MOMOZA,"SHERLOCK COMMON SPACE, JL. L. L. R.E. MARTADINATA NO.217",Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ROEMAH NENEK,JL. TM. CIBEUNYING SEL. NO.47,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
THE SAGE BANDUNG,JL. ANGGREK NO.51,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PAN'S PANCAKE & OTHERS,"JL. RE. MARTADINATA NO. 205 CIHAPIT BANDUNG WETAN BANDUNG JAWA
  BARAT",Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MOIST SOFT PANCAKE,JL. NANAS NO.10,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PHO TERIYAKI,CILAKI ST NO.3,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
TIRAMISUSU BY CHOCOMORY,JL. ANGGREK NO.48,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DAILY PHILLY,JL. SALAM NO.7,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ROAD CAFE,CILAKI ST NO.41,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CHICKEN AND BUTTER,JL. BENGAWAN NO.56,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LOS CHICKANO'S - FRIED CHICKEN PLAYGROUND,JL. CILIWUNG NO.24,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MOM'S CHICKEN,JL. ANGGREK NO.55,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CHICKEN SHOCK,JL. PASANG NO.16,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WINGZ O WINGZ - SUPRATMAN,JL. SUPRATMAN NO.45A,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
VINCENZO CHICKEN WINGS,JL. SABANG NO.63,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PASAR CIHAPIT,JL. CIHAPIT NO.32,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LA.KITCHEN,JL. SABANG NO.42,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BEURGEUR BURGER,JL. CILIWUNG NO.2,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
B COFFEE & BURGERS,JL. SANINTEN NO.65,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
RM ALOHA,JL. SABANG NO.75,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ALOHA RESTAURANT CIHAPIT BRANCH,JL. CIHAPIT NO.6,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LOMIE LOMBOK,JL. LOMBOK NO.12,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
TOBO CIHAPIT,JL. CIHAPIT NO.25B,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KEMBANG WANGI,JL. CIHAPIT NO.45,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KATSUNYAKA,JL. BENGAWAN NO.60,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
RAMESINDONG,JL. BENGAWAN NO.56 A,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SULTN SAHEF - MASAKAN ARAB DAN MELAYU,JL. BENGAWAN NO.83,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NASI MANDHI BOSGIL CITARUM BANDUNG KOTA,JL. CITARUM NO.3B,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
90 GOURMET,LLRE MARTADINATA ST NO.90,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BELLAMIE BOULANGERIE,JL. CIHAPIT NO.35,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
JENDERAL KOPI NUSANTARA BUWAS,LLRE MARTADINATA ST NO.219,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KUKUMAMA,LLRE MARTADINATA ST NO.221,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DJAYA MANDIRI SEJAHTERA,JL. NANAS NO.27,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
GLOSIS STEAKHOUSE,JL. BENGAWAN NO.11,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CRESCENT BAKE & BRUNCH,LLRE MARTADINATA ST NO.90,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SUNDAY MORNING BREAKFAST AT SIXTY TWO CISANGKUY,"3JXC+4HH, CISANGKUY ST",Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
GREAT DIMSUM BANDUNG 1 EX DIMSUM HOUSE,JL. TAMAN CIBEUNYING UTARA NO.12,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HOO KEE - CIHAPIT,JL. TAMAN CIBEUNYING UTARA NO.12,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CHAWARMA,JL. TAMAN CIBEUNYING UTARA NO.8-24,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
AMO PIZZERIA INDONESIA,JL. ANGGREK NO.55,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PAMOR,LLRE MARTADINATA ST NO.125,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
THIS DISH EATERY,CILAKI ST NO.45,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CUP EAT SEGIMATA & ARROY TEA,JL. SABANG NO.26,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
TEMPAYAN INDONESIAN BISTRO,JL. CITARUM NO.10,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LAWUH - INDONESIAN SOUL FOOD,JL. KIHIUR NO.48 RT 004/005,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
AMERIKA BURGER BAR,JL. ANGGREK NO.43,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DUAPULUHAN FOODS,JL. CENDANA NO.11,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
OKINAWA SUSHI • BANDUNG RIAU,LLRE MARTADINATA ST NO.149,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SUSHI NO MORI,LLRE MARTADINATA ST NO.193,Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Bandung Wetan,28848.0,3.44,8386.05
EVARTRA SLY BAR,CILAKI ST NO.45,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
RESTO BOZ E,JL. CITARUM NO.30,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
RM PAYAKUMBUAH CITARUM BANDUNG,JL. CITARUM NO.24,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KOPI KOHI,"KOPI KOHI, JL. L. L. R.E. MARTADINATA NO.193",Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
COLD 'N BREW BANDUNG/PT SRI REJEKI ISMAN TBK BANDUNG,LLRE MARTADINATA ST NO.107,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
TEAPOTTO,JL. BENGAWAN NO.25,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
GIGA BITES,JL. NANAS NO.11,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ROCKMEN AND COFFEE,JL. CILIWUNG NO.17,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CAFE KOFEE TIDJI,JL. CITARUM NO.30,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WAY UP WARKOP,JL. TAMAN CIBEUNYING UTARA NO.10,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CO.CHOC (COMFORT OF CHOCOLATE),LLRE MARTADINATA ST NO.205,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WIFI CORNER MARGAHAYU SHIFT MALAM,3JVH+5VX,Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Bandung Wetan,28848.0,3.44,8386.05
NYUMPUT DI DEPOT IRA,"3JWF+5RM, JL. TM. CIBEUNYING SEL.",Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WARUNG KIOS IROD,LLRE MARTADINATA ST NO.158,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MORGY COFFEE,JL. ANGGREK NO.46,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
I NEED COFFEE,JL. JOHAR NO.10A,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KOPINA,JL. BENGAWAN NO.3,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ALAS DAUN RESTAURANT,JL. CITARUM NO.34,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SHABU HACHI CILAKI BANDUNG,CILAKI ST NO.41,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BONFIRE ROAST & GRILL,LLRE MARTADINATA ST NO.137,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KARNIVOR RESTAURANT,LLRE MARTADINATA ST NO.127,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SATE YAKITORI (SATE.YUTAKA),"SEBERANG TAMAN CIBEUNYING, JL. CILAKI",Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SET N RISE,JL. TM. CIBEUNYING SEL. NO.41,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MARUGAME UDON RIAU BANDUNG,JALAN LAKSAMANA JL. L. L. R.E. MARTADINATA NO.112,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MENJAMA,"BENGAWAN, JL. BENGAWAN NO.26",Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
83 BIERGARTEN,JL. CILIWUNG NO.23,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
D'BANDIT,3JRH+J9C,Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Bandung Wetan,28848.0,3.44,8386.05
KEBABFACTORY.ID,JL. KIHIUR NO.8,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SERASA SALAD BAR BANDUNG,CILAKI ST NO.45,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ROASTED BAR,CILAKI ST NO.45,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HAW HAW GRILL,CILAKI ST NO.59,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
GRILL DAY OUT,"3JWF+5PP, JL. TAMAN CIBEUNYING UTARA",Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
INI ITU CAFE,JL. BENGAWAN NO.69D,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KOZI COFFEE X TEKO,JL. BENGAWAN NO.77,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
THE FLAVORS ASIAN CUISINE,JL. HOLIS NO.59,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
FRIED CHICKEN AZWA,JL. SURYANI DALAM I NO.5,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
RUMAH MAKAN KAMI SAIYO,JL. JEND. SUDIRMAN NO.649,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
TABULLA RASA,JL. SOEKARNO HATTA NO.88,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WAROENG SEAFOOD 89,"SEAFOOD 89, JL. SOEKARNO HATTA NO.89",Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
RUMAH MAKAN SARI RASA SAMBEL HEJO,JL. SOEKARNO HATTA NO.71,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DIMSUM DELIE FOOD,JL. CIBUNTU TIMUR NO.322,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DINAS KEBUDAYAAN DAN PARIWISATA KOTA BANDUNG,"JL. AHMAD YANI NO.227, BABAKAN SURABAYA, KIARACONDONG",Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
EMADO'S SHAWARMA RIAU,JL. CITARUM NO.2,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CAFE BALI,LLRE MARTADINATA ST NO.211-215,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SUIS BUTCHER STEAK HOUSE,LLRE MARTADINATA ST NO.201,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NIJUUGO RESTO,JL. BENGAWAN NO.25,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BAKMI JOGJA BENGAWAN,JL. TAMAN PRAMUKA NO.183,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
IT'S NICE TO MEAT YOU,JL. CILIWUNG NO.9,Kecamatan Bandung Wetan,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
AYAM CRISBAR CIJERAH MELONG,JL. MELONG ASIH NO.62,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MY DIMSUM AND FRIENDS,JL. MELONG ASIH NO.46,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SEAFOOD KILOAN BANG BOPAK CAB. CIJERAH,JL. MELONG ASIH NO.43,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BNDUNG,3HH5+2QJ,Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Bandung Kulon,136622.0,6.95,19657.84
DELIS CATERING SERVICE,"3H93+WW8, JL. ALAMANDA VII",Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NURDWI PLAT AA BASECAMP DOPBER BANDUNG,BANDUNG KULON GEMPOL,Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Bandung Kulon,136622.0,6.95,19657.84
KEDAI NGOPIII!,"3HGG+7Q8, JL. CIBUNTU TENGAH 3 NO.57",Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BARLEY BAR & GRILL,BANDUNG KULON WARUNG MUNCANG,Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Bandung Kulon,136622.0,6.95,19657.84
BBQ ROOFTOP,JL. JEND. SUDIRMAN NO.627,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WARUNG SHIDQIA,"3. NO. 3B. RT/RW. 06/02, JL. SURYANI DALAM",Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ALAM DESA (SUNDANESE RESTO),JL. NANA ROHANA NO.60,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BAKMIE ROYAL,JL. SURYANI DALAM NO.17,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PABRIK TAHU WN,BANDUNG KULON WARUNG MUNCANG,Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Bandung Kulon,136622.0,6.95,19657.84
PO-EAT,JL. TAMAN HOLIS INDAH II NO.19 BLOK A2,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LOTEK BU IDAH,CIGONDEWAH KALER KP.BLOK.JAMBANGAN RT03,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
FRIED CHICKEN & AYAM GEPREK MAS AL,JL. GEMPOL SARI NO.9,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DAPOER MODERN,GG. AL-MAQBUL NO.RT01/04,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PUBG FOOD N DRINKS,JL. TAMAN HOLIS INDAH 1 NO.109 BLOK C2,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NATURALE HEALTHY CATERING BANDUNG,JL. TAMAN HOLIS INDAH 1 NO.39 BLOK F2,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
TTALS KOREAN BBQ,JL. TAMAN HOLIS INDAH NO.21 BLOK C1,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NAY'S BURGER,"3H48+798, JL. CIGONDEWAH KIDUL",Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PANAMA PARK 825,JL. JEND. SUDIRMAN NO.825,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HOUSE OF BASINGSE & LOUNGE,GG. SALUYU I NO.30,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DAPUR BIRU ID,GG. MANUNGGAL IIC,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MAKANAN ONLINE,"KP SAYURAN, GG. MANUNGGAL IIC",Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ATE COFFEE N EATERY,JL. MELONG ASIH NO.67A,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
"KEDAI MA""UU",JL. CIJERAH WETAN II,Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
@LA PRASMANAN,"KIOS PBJ2, JL GEMPOL SARI (SEBRANG KAHATEX",Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DWINGS HOT CHICKEN WINGS,"BANDUNG KOTA BANDUNG JAWA BARAT JL.MELONG ASIH GG.MANUNGGAL 2C
  RT.06 09 N, 0, RW.20",Kecamatan Bandung Kulon,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NASI TIMBEL TEH DESI,"2JR5+4XF, JL. CURUG CANDUNG",Kecamatan Bandung Kidul,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DAPUR CUBAN,"JL. MOCH. TOHA GG. RIANG NO.24, RT.01/RW.02",Kecamatan Bandung Kidul,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
