nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,mall_per_capita,minimarket_density,taman_per_capita,ulasan_per_capita,competition_density,market_potential,infrastructure_score,retail_accessibility,population_tier,density_tier,review_tier,rating_normalized,high_rating,excellent_rating,high_volume_reviews,very_high_volume_reviews,log_jumlah_ulasan,log_kepadatan,kategori_resto_encoded,price_range_encoded,price_category_interaction,rating_review_interaction,density_infrastructure,success_category,market_attractiveness,business_viability,competition_target
BANDUNG COFFEE BEER,JL. CIROYOM BAR. NO.34,andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Cafe,8,0.010088883059756455,4.739336492890995,0.34302202403171944,0.08071106447805164,1.8957345971563981,493246.11,55.0,21.0,High,Medium,Very Low,1.0,1,1,0,0,2.1972245773362196,10.064283673851754,1,3,3,10.986122886681098,1291835.05,Low,Low,Low Risk,Avoid
TERAS HAFID CREW,JL. RAJAWALI TIMUR JL. TARUNA NO.04,andir,4.8,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,52,0.010088883059756455,4.739336492890995,0.34302202403171944,0.5246219191073357,12.322274881516588,493246.11,55.0,21.0,High,Medium,Very Low,0.95,1,1,0,0,3.970291913552122,10.064283673851754,8,3,24,19.057401185050185,1291835.05,Low,Low,Low Risk,Avoid
GRILLNESIA,"PASKAL HYPER SQUARE, RUKO A, JL. PASIR KALIKI NO.21",andir,4.6,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Western Food,565,0.010088883059756455,4.739336492890995,0.34302202403171944,5.700218928762397,133.88625592417063,493246.11,55.0,21.0,High,Medium,Very Low,0.8999999999999999,1,0,0,0,6.338594078203183,10.064283673851754,10,3,30,29.15753275973464,1291835.05,High,Low,Low Risk,Avoid
GRILL GARDEN,"PASKAL HYPER SQUARE, JL. PASIR KALIKI NO.23",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Western Food,176,0.0207507625905252,4.492939666238768,0.4772675395820796,1.8260671079662179,22.593068035943517,457783.61000000004,83.0,37.0,Medium,Low,Very Low,1.0,1,1,0,0,5.176149732573829,9.423314792502264,10,3,30,25.880748662869145,1026919.9900000001,Medium,Low,Low Risk,Avoid
NASI BAKAR NANBU SOKO BY REYSALSA KITCHEN,JL. GUDANG SELATAN NO.87A,sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Local Food,254,0.10437596221590167,5.444126074498567,0.9915716410510659,6.627873600709757,72.77936962750717,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.8,0,0,0,0,5.541263545158426,9.303994636053972,7,2,14,23.27330688966539,669828.7999999999,High,Low,Low Risk,Avoid
SATE - GULE - SOTO GUJES,JL. GUDANG SELATAN NO.87,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,155,0.10437596221590167,5.444126074498567,0.9915716410510659,4.0445685358661905,44.41260744985673,252558.4,61.0,23.0,Very Low,Sparse,Very Low,1.0,1,1,0,0,5.049856007249537,9.303994636053972,8,3,24,25.249280036247686,669828.7999999999,Medium,Low,Medium Risk,Consider
"WAROENG SPESIAL SAMBAL ""SS"" BAWEAN",JL. BAWEAN NO.1,sumur bandung,4.2,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,480,0.10437596221590167,5.444126074498567,0.9915716410510659,12.5251154659082,137.53581661891116,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.8,0,0,0,0,6.175867270105761,9.303994636053972,8,2,16,25.9386425344442,669828.7999999999,High,Low,Low Risk,Consider
LANEO CAFE & EATERY BANDUNG,JL. JAWA NO.46/48,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,231,0.10437596221590167,5.444126074498567,0.9915716410510659,6.0277118179683224,66.189111747851,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.925,1,0,0,0,5.44673737166631,9.303994636053972,1,3,3,25.599665646831657,669828.7999999999,High,Low,Medium Risk,Consider
BASO SLOWI JL. GUDANG SELATAN,JL. GUDANG SELATAN NO.31,sumur bandung,4.7,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,710,0.10437596221590167,5.444126074498567,0.9915716410510659,18.526733293322547,203.43839541547277,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.925,1,0,0,0,6.566672429803241,9.303994636053972,8,3,24,30.86336042007523,669828.7999999999,High,Low,Medium Risk,Consider
NASI GORENG KRISTIN CHINESE FOOD HALAL,JL. GUDANG SELATAN NO.98,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,4315,0.10437596221590167,5.444126074498567,0.9915716410510659,112.59556924040393,1236.3896848137535,252558.4,61.0,23.0,Very Low,Sparse,Medium,0.725,0,0,1,0,8.370084326378025,9.303994636053972,7,1,7,32.6433288728743,669828.7999999999,High,Low,High Risk,Go
WARUNG BAROKAH,JL. SUMBAWA NO.8,sumur bandung,4.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,751,0.10437596221590167,5.444126074498567,0.9915716410510659,19.59658690603554,215.1862464183381,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.75,0,0,0,0,6.62273632394984,9.303994636053972,7,2,14,26.49094529579936,669828.7999999999,High,Low,Low Risk,Consider
BASO TAHU & SIOMAY BAROKAH PAK ROJI,"3JP8+7XQ, JL. BALI",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,118,0.10437596221590167,5.444126074498567,0.9915716410510659,3.0790908853690997,33.81088825214899,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.875,1,0,0,0,4.77912349311153,9.303994636053972,8,3,24,21.506055719001882,669828.7999999999,Medium,Low,Low Risk,Consider
WARUNG NASI HIQMAH,JL. BALI NO.2,sumur bandung,3.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,425,0.10437596221590167,5.444126074498567,0.9915716410510659,11.089945985439552,121.77650429799426,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.7,0,0,0,0,6.054439346269371,9.303994636053972,7,1,7,23.00686951582361,669828.7999999999,High,Low,Low Risk,Avoid
SOTO MIE BOGOR SADULUR LANANG,JL. GUDANG SELATAN NO.22,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,60,0.10437596221590167,5.444126074498567,0.9915716410510659,1.565639433238525,17.191977077363894,252558.4,61.0,23.0,Very Low,Sparse,Very Low,1.0,1,1,0,0,4.110873864173311,9.303994636053972,8,3,24,20.554369320866556,669828.7999999999,Low,Low,Medium Risk,Consider
WARUNG MBAK YATI,JL. BANGKA,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Local Food,209,0.10437596221590167,5.444126074498567,0.9915716410510659,5.4536440257808625,59.88538681948424,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.8500000000000001,0,0,0,0,5.3471075307174685,9.303994636053972,7,2,14,23.527273135156864,669828.7999999999,High,Low,Low Risk,Consider
"SOTO KUDUS,GARANG ASEM,MANGUT BAROKAH",JL. GUDANG UTARA NO.1,sumur bandung,4.3,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,481,0.10437596221590167,5.444126074498567,0.9915716410510659,12.551209456462177,137.82234957020057,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.825,0,0,0,0,6.1779441140506,9.303994636053972,8,2,16,26.56515969041758,669828.7999999999,High,Low,Low Risk,Consider
SATE PADANG TUAH SAKATO (TAMAN MUSIK),JL. BELITUNG NO.10,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,3169,0.10437596221590167,5.444126074498567,0.9915716410510659,82.69185606554811,908.0229226361031,252558.4,61.0,23.0,Very Low,Sparse,Low,0.8500000000000001,0,0,1,0,8.061486866871327,9.303994636053972,8,2,16,35.470542214233845,669828.7999999999,High,Low,High Risk,Go
RUMAH MAKAN SOTO BALI,JL. BALI NO.2,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Local Food,866,0.10437596221590167,5.444126074498567,0.9915716410510659,22.597395819742715,248.1375358166189,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.8999999999999999,1,0,0,0,6.7650389767805414,9.303994636053972,7,3,21,31.119179293190488,669828.7999999999,High,Low,Medium Risk,Consider
SATE MAS DADEUNG,JL. RAKATA NO.79,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,195,0.10437596221590167,5.444126074498567,0.9915716410510659,5.088328158025207,55.87392550143266,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.925,1,0,0,0,5.278114659230517,9.303994636053972,8,3,24,24.80713889838343,669828.7999999999,Medium,Low,Medium Risk,Consider
RUMAH MAKAN ANIQ,JL. JAWA NO.38,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,195,0.10437596221590167,5.444126074498567,0.9915716410510659,5.088328158025207,55.87392550143266,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.725,0,0,0,0,5.278114659230517,9.303994636053972,7,1,7,20.584647170999016,669828.7999999999,Medium,Low,Low Risk,Avoid
BRUULE BANDUNG,JL. PATRAKOMALA NO.31,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Restaurant,111,0.10437596221590167,5.444126074498567,0.9915716410510659,2.8964329514912714,31.80515759312321,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.725,0,0,0,0,4.718498871295094,9.303994636053972,8,1,8,18.40214559805087,669828.7999999999,Medium,Low,Low Risk,Avoid
TON KEDAI,"KOMPLEK RUKO SEGITIGA MAS JL. A. YANI.221-223 BLOK E-12 &
  E-13",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,108,0.10437596221590167,5.444126074498567,0.9915716410510659,2.8181509798293454,30.945558739255013,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.875,1,0,0,0,4.6913478822291435,9.303994636053972,8,3,24,21.111065470031146,669828.7999999999,Medium,Low,Low Risk,Consider
KOREAN COMFORT FOOD,"3JMG+VC6, JL. GANDAPURA",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Korean Food,95,0.10437596221590167,5.444126074498567,0.9915716410510659,2.478929102627665,27.220630372492835,252558.4,61.0,23.0,Very Low,Sparse,Very Low,1.0,1,1,0,0,4.564348191467836,9.303994636053972,6,3,18,22.82174095733918,669828.7999999999,Medium,Low,Medium Risk,Consider
NARENDANG,JL. KALIMANTAN NO.5,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,70,0.10437596221590167,5.444126074498567,0.9915716410510659,1.8265793387782794,20.057306590257877,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.925,1,0,0,0,4.2626798770413155,9.303994636053972,8,3,24,20.034595422094185,669828.7999999999,Medium,Low,Medium Risk,Consider
PUSAT KULINER,"3JMH+X5P, JL. KEMUNING",sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,42,0.10437596221590167,5.444126074498567,0.9915716410510659,1.0959476032669675,12.034383954154727,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.8999999999999999,1,0,0,0,3.7612001156935624,9.303994636053972,8,3,24,17.301520532190384,669828.7999999999,Low,Low,Medium Risk,Consider
AREBEST CAFE&RESTO,JL. LOMBOK NO.10,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,133,0.10437596221590167,5.444126074498567,0.9915716410510659,3.4705007436787305,38.10888252148997,252558.4,61.0,23.0,Very Low,Sparse,Very Low,1.0,1,1,0,0,4.897839799950911,9.303994636053972,1,3,3,24.489198999754556,669828.7999999999,Medium,Low,Medium Risk,Consider
TERAZ COZY,"3JQ8+3JC, JL. SUMBAWA",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,181,0.10437596221590167,5.444126074498567,0.9915716410510659,4.723012290269551,51.862464183381086,252558.4,61.0,23.0,Very Low,Sparse,Very Low,1.0,1,1,0,0,5.204006687076795,9.303994636053972,8,3,24,26.020033435383976,669828.7999999999,Medium,Low,Medium Risk,Consider
"BRUNCH CAFE, WAFFLES & COFFEE",JL. ANGGREK NO.34,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,213,0.10437596221590167,5.444126074498567,0.9915716410510659,5.558019987996764,61.03151862464183,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.925,1,0,0,0,5.365976015021851,9.303994636053972,1,3,3,25.2200872706027,669828.7999999999,High,Low,Medium Risk,Consider
NINETEN BURGER & BAR,JL. BANDA NO.3S,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Fast Food,143,0.10437596221590167,5.444126074498567,0.9915716410510659,3.731440649218485,40.97421203438395,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.8999999999999999,1,0,0,0,4.969813299576001,9.303994636053972,4,3,12,22.8611411780496,669828.7999999999,Medium,Low,Medium Risk,Consider
FARM TO TABLE,JL. CULAN NO.9,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,73,0.10437596221590167,5.444126074498567,0.9915716410510659,1.9048613104402055,20.916905444126073,252558.4,61.0,23.0,Very Low,Sparse,Very Low,1.0,1,1,0,0,4.30406509320417,9.303994636053972,8,3,24,21.52032546602085,669828.7999999999,Medium,Low,Medium Risk,Consider
BIJAN RESTORAN NUSANTARA,JL. JAWA NO.54,sumur bandung,4.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,192,0.10437596221590167,5.444126074498567,0.9915716410510659,5.01004618636328,55.01432664756447,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.9750000000000001,1,1,0,0,5.262690188904886,9.303994636053972,8,3,24,25.78718192563394,669828.7999999999,Medium,Low,Medium Risk,Consider
PAGI SORE BANDUNG,JL. SUMATERA NO.31,sumur bandung,4.1,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,3897,0.10437596221590167,5.444126074498567,0.9915716410510659,101.68828118884221,1116.6189111747851,252558.4,61.0,23.0,Very Low,Sparse,Low,0.7749999999999999,0,0,1,0,8.268218880067506,9.303994636053972,8,2,16,33.89969740827677,669828.7999999999,High,Low,High Risk,Go
