Unnamed: 0,nama,alamat,kecamatan,type,tahun,source_file,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),place_id,google_rating,price_range_rupiah,business_status,processed_at
363,RUMAH MAKAN ANIQ,JL. JAWA NO.38,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJJ54woxXnaC4Rp2jEzfNV0Iw,3.9,,OPERATIONAL,2025-06-28 21:23:28
364,BRUULE BANDUNG,JL. PATRAKOMALA NO.31,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJGQZX6TPnaC4RKs03ZtZoBYQ,3.9,,OPERATIONAL,2025-06-28 21:23:30
365,TON KEDAI,"KOMPLEK RUKO SEGITIGA MAS JL. A. YANI.221-223 BLOK E-12 &
  E-13",sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJge0yizvnaC4RLjdXcBZSSHM,4.5,,OPERATIONAL,2025-06-28 21:23:31
366,KOREAN COMFORT FOOD,"3JMG+VC6, JL. GANDAPURA",sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJM5cFyM3naC4RuCZdPzLUQuA,5,,OPERATIONAL,2025-06-28 21:23:32
367,NARENDANG,JL. KALIMANTAN NO.5,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJoyu2aoLnaC4ROjIMO9aiXd4,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:33
368,PUSAT KULINER,"3JMH+X5P, JL. KEMUNING",sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ2-ZF9wDnaC4RH7Me_vLlJ6A,4.6,,OPERATIONAL,2025-06-28 21:23:34
369,AREBEST CAFE&RESTO,JL. LOMBOK NO.10,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJkbHFVX7naC4R_uIxspOCDKo,5,,OPERATIONAL,2025-06-28 21:23:35
370,TERAZ COZY,"3JQ8+3JC, JL. SUMBAWA",sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJJ_GFh3XnaC4RQGyrgWGEcaY,5,,OPERATIONAL,2025-06-28 21:23:36
371,"BRUNCH CAFE, WAFFLES & COFFEE",JL. ANGGREK NO.34,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJXRViGk7naC4RHMtLC11Mn6o,4.7,,CLOSED_PERMANENTLY,2025-06-28 21:23:37
372,NINETEN BURGER & BAR,JL. BANDA NO.3S,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJwZrMx_LnaC4RlmBOpjATw6k,4.6,,OPERATIONAL,2025-06-28 21:23:38
