,nama,alamat,kecamatan,type,tahun,source_file,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
53,EIGER,JL. PELAJAR PEJUANG 45 NO. 112,lengkong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,71000.0,5.91,12013.54
54,EIGER ADVENTURE CIHAMPELAS,JL. CIHAMPELAS NO. 22,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
55,PEGASHOES,JL. KEMBANG SAPATU NO. 3,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
56,FO RIAU STOK MALL,JL. L. L. R. E. MARTADINATA NO. 160,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
57,EXPORT STATION,JL. SUMATERA NO. 24-30,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
58,FS BODYPACK EIGER STORE DAGO,JL. IR. H. JUANDA NO. 88,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
59,CONSINA STORE BANDUNG,JL. LENGKONG BESAR NO. 79,lengkong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,71000.0,5.91,12013.54
60,ISTANA SEPATU,JL. DALEM KAUM NO. 25,regol,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,80609.0,4.74,17006.12
61,ISTANA SEPATU MERDEKA,JL. MERDEKA NO. 23A,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
62,EIGER SUMATERA,JL. SUMATERA NO. 23,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
63,THE SAPARUA,JL. AMBON NO. 15,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
64,CASCADE FASHION HOUSE AND HOME LIVING,JL. L. L. R. E. MARTADINATA NO. 65,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
65,UNDER ARMOUR BANDUNG,JL. IR. H. JUANDA NO. 23,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
66,TERMINAL TAS,JL. L. L. R. E. MARTADINATA NO. 32,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
67,IBC JEANS & FACTORY OUTLET,JL. CIHAMPELAS NO. 114,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
68,DEARUMMANIS FACTORY OUTLET,JL. CIHAMPELAS NO. 144,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
69,NIKE FACTORY STORE,JL. IR. H. JUANDA NO. 145,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
70,EPISODE,JL. IR. H. JUANDA NO. 125,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
71,MACADAMIA LITTLE GLAMZ,JL. BAHUREKSA NO.12,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
72,RABBANI KEMKO BUAH BATU,JL. BUAH BATU NO. 150,lengkong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,71000.0,5.91,12013.54
73,GANI FACTORY OUTLET,JL. A.H. NASUTION KM 10 NO. 6-8,ujungberung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,90562.0,6.24,14513.14
74,HOUSE OF DONATELLO,JL. IR. H. JUANDA NO. 104,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
75,FACTORY OUTLET TOMKINS,JL. GEDEBAGE SELATAN NO. 95,gedebage,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,42071.0,9.96,4224.0
76,HYPESTORE,JL. CIHAMPELAS NO. 178,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
77,C29 FACTORY OUTLET,JL. CIGONDEWAH KIDUL NO. 29,bandung kulon,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,136622.0,6.95,19657.84
78,PUMA OUTLET,JL. IR. H. JUANDA NO. 119,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
79,FACTORY OUTLET JBA,JL. TERUSAN KIPO KM. 13 NO. 367,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
80,DEMOSS WISATA BERBELANJA BUAH BATU,JL. BUAH BATU NO. 149,lengkong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,71000.0,5.91,12013.54
81,PERAHU JEANS FASHION OUTLET,JL. CIHAMPELAS,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
82,MINIMAL RUMAH MODE,JL. DR. SETIABUDI NO. 41,sukasari,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,77576.0,6.36,12197.48
83,GRANDE FACTORY OUTLET,JL. RAYA PAJAJARAN NO. 76,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
84,LEVEL,JL. H. JUANDA NO. 138,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
85,RENARITTI,JL. L. L. R. E. MARTADINATA NO. 26,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
86,FO WARUNG GAUL,JL. CIHAMPELAS NO. 151,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
87,SCH SULTAN AGUNG,JL. SULTAN AGUNG NO. 3,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
88,ADIDAS SURAPATI,JL. SURAPATI NO. 61,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
89,VESSEL STORE,JL. TRUNOJOYO NO. 23,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
90,GUDANG GARMENT JL. JAKARTA,JL. JAKARTA NO.8,batununggal,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,121469.0,4.82,25201.04
91,GUDANG GARMENT,JL. A.H. NASUTION NO. 76,mandalajati,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,73956.0,4.8,15407.5
92,TC7 STORE,JL. TAMAN CEMP. NO.7,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
