id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_taman,lokasi,luas,satuan,tahun
118,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 12,SEBELAH RUKAN TA,25,METER PERSEGI,2017
119,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,TAMAN LINGKUNGAN PERUMNAS CIJERAH I,JL. CIJERAH (KOMPLEK PERUMNAS CIJERAH,4794,METER PERSEGI,2017
120,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,TAMAN LINGKUNGAN PERUMNAS CIBUNTU,KOMPLEK PERUMNAS CIBUNTU,1370,METER PERSEGI,2017
121,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,TAMAN LINGKUNGAN PERUMAHAN SADANG,JL. SADANG,545.23,METER PERSEGI,2017
122,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,TAMAN RW.04 KEL. CARINGIN,KELURAHAN CARINGIN,210,METER PERSEGI,2017
123,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,TAMAN RW.05 KEL. CARINGIN,KELURAHAN CARINGIN,170,METER PERSEGI,2017
124,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,STADION SILIWANGI,JL. LOMBOK,60576.87,METER PERSEGI,2017
125,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TAMAN LALU LINTAS,JL. SUMATERA,45600.87,METER PERSEGI,2017
126,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,GOR SAPARUA,JL. AMBON,44300,METER PERSEGI,2017
127,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,LAPANG GASIBU,JL. GASIBU,25962,METER PERSEGI,2017
128,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TAMAN CILAKI ATAS,JL. CILAKI ATAS,16620,METER PERSEGI,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TAMAN GEDUNG SATE,JL. DIPONEGORO/GEDUNG SATE,16605,METER PERSEGI,2017
130,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TAMAN KODYA,JL. WASTUKENCANA / BALAIKOTA,13965.89,METER PERSEGI,2017
131,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TAMAN PRAMUKA,JL. R.E. MARTADINATA,13845.34,METER PERSEGI,2017
132,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TAMAN CILAKI BAWAH I DAN II,JL. CILAKI,9753,METER PERSEGI,2017
133,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TAMAN SERAM,JL. SERAM,9511.23,METER PERSEGI,2017
134,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,LAPANG SUPRATMAN,JL. SUPRATMAN,9072.75,METER PERSEGI,2017
135,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TAMAN CILAKI TENGAH,JL. CILAKI,6487,METER PERSEGI,2017
136,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,JALUR PRABUDIMUNTUR/SURAPATI,JL. PRABUDIMUNTUR,3600,METER PERSEGI,2017
