id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kelurahan,kecamatan,latitude,longitude,type
8614,32,JAWA BARAT,3273,KOTA BANDUNG,"KARNEVOR.ID SUKAJADI BANDUNG ( BBQ GRILL SUKI HOME SERVICE
  CATERING BDG )",SUKAJADI SUKABUNGAH,2024,Sukabungah,Kabupaten Bandung,-6.8948485,107.5971647,restaurant
8617,32,JAWA BARAT,3273,KOTA BANDUNG,ZONA MERAH (ZOMER) SUKAJADI,JL. SUKAJADI NO.57,2024,Gegerkalong,Kabupaten Bandung,-6.8784211,107.5914035,restaurant
8622,32,JAWA BARAT,3273,KOTA BANDUNG,QAYYUM,JL. SUKAMUKTI NO.2,2024,Biru,Kabupaten Bandung,-7.0466559,107.7310217,restaurant
8624,32,JAWA BARAT,3273,KOTA BANDUNG,SEWA GRILL BANDUNG,JL. GARUNGGANG KULON NO.10,2024,Sukabungah,Kabupaten Bandung,-6.8986204,107.596718,restaurant
8627,32,JAWA BARAT,3273,KOTA BANDUNG,SAYAP GORENG ISI,GG. MANDALIKA NO.78,2024,Cipedes,Kabupaten Bandung,-6.892186,107.5916411,restaurant
8629,32,JAWA BARAT,3273,KOTA BANDUNG,"KEDAI MEDINA, DIMSUM & BURGER",JL. SUKABUNGAH NO.12,2024,Sukabungah,Kabupaten Bandung,-6.89584,107.5943505,restaurant
8630,32,JAWA BARAT,3273,KOTA BANDUNG,REPUBLIC KEBAB PREMIUM,JL. SUKAGALIH NO.23,2024,Sukagalih,Kabupaten Bandung,-6.8903027,107.5870527,restaurant
8633,32,JAWA BARAT,3273,KOTA BANDUNG,SAHABAT,JL. CIBARENGKOK,2024,Sukabungah,Kabupaten Bandung,-6.8957604,107.5951059,restaurant
8637,32,JAWA BARAT,3273,KOTA BANDUNG,TORA TORI,JL. SURYA SUMANTRI NO.54,2024,Sukawarna,Kabupaten Bandung,-6.8872608,107.581335,restaurant
8638,32,JAWA BARAT,3273,KOTA BANDUNG,HOKBEN - SURYA SUMANTRI,JL. SURYA SUMANTRI NO.74,2024,Sukawarna,Kabupaten Bandung,-6.8872608,107.581335,restaurant
8646,32,JAWA BARAT,3273,KOTA BANDUNG,SETRASARI PLAZA,JL. SURYA SUMANTRI NO.44,2024,Sukawarna,Kabupaten Bandung,-6.8872608,107.581335,restaurant
8648,32,JAWA BARAT,3273,KOTA BANDUNG,MRS KAREE,JL. SURYA SUMANTRI NO.57,2024,Sukawarna,Kabupaten Bandung,-6.8872608,107.581335,restaurant
8649,32,JAWA BARAT,3273,KOTA BANDUNG,KEBAB YANMU,SUKAJADI SUKAGALIH,2024,Sukagalih,Kabupaten Bandung,-6.8925837,107.5884968,restaurant
8667,32,JAWA BARAT,3273,KOTA BANDUNG,VENESIA CAFE,JL. SURYA SUMANTRI NO.29,2024,Sukawarna,Kabupaten Bandung,-6.8872608,107.581335,restaurant
8668,32,JAWA BARAT,3273,KOTA BANDUNG,PURI LESTARI CATERING,JL. SARIMADU NO.16,2024,Sukawarna,Kabupaten Bandung,-6.8852842,107.5748389,restaurant
8670,32,JAWA BARAT,3273,KOTA BANDUNG,BOTTLE AVENUE LEMAH NEUNDEUT,JL. LEMAH NEUNDEUT,2024,Sukawarna,Kabupaten Bandung,-6.882782,107.5798815,restaurant
8671,32,JAWA BARAT,3273,KOTA BANDUNG,BARBEQUE & GRILL (Q-BAR),JL. SURYA SUMANTRI NO.49,2024,Sukawarna,Kabupaten Bandung,-6.8872608,107.581335,restaurant
8674,32,JAWA BARAT,3273,KOTA BANDUNG,DOMINO'S PIZZA,JL. SURYA SUMANTRI NO.97,2024,Sukawarna,Kabupaten Bandung,-6.8872608,107.581335,restaurant
8677,32,JAWA BARAT,3273,KOTA BANDUNG,LOFT CAFE AT KPGA GOLF DRIVING,JL. DR. DJUNJUNAN,2024,Pamoyanan,Kabupaten Bandung,-6.9003933,107.5972072,restaurant
8679,32,JAWA BARAT,3273,KOTA BANDUNG,ALIONG 88 (CHINESE FOOD),JL. CIBOGO NO.49,2024,Husen Sastranegara,Kabupaten Bandung,-6.890867,107.5765768,restaurant
8683,32,JAWA BARAT,3273,KOTA BANDUNG,MCDONALD'S - SURYA SUMANTRI,JL. SURYA SUMANTRI NO.63,2024,Sukagalih,Kabupaten Bandung,-6.891886,107.5812954,restaurant
8696,32,JAWA BARAT,3273,KOTA BANDUNG,KOPI KENDI 71,JL. GEGERKALONG TENGAH NO.71,2024,Gegerkalong,Kabupaten Bandung,-6.8671292,107.5916339,restaurant
8707,32,JAWA BARAT,3273,KOTA BANDUNG,GANITRI OUTDOOR CAFE & RESTO,JL. SIRNAGALIH,2024,Pasirlayung,Kabupaten Bandung,-6.8954087,107.6571786,restaurant
8715,32,JAWA BARAT,3273,KOTA BANDUNG,TRUCE,JL. SINDANG SIRNA NO.38,2024,Gegerkalong,Kabupaten Bandung,-6.8771993,107.5947603,restaurant
8725,32,JAWA BARAT,3273,KOTA BANDUNG,RAMEN AA,JL. GEGERKALONG GIRANG NO.83,2024,Gegerkalong,Kabupaten Bandung,-6.8622627,107.5860753,restaurant
8727,32,JAWA BARAT,3273,KOTA BANDUNG,ABOUT DIMSUM,JL. GEGERKALONG TENGAH NO.17,2024,Gegerkalong,Kabupaten Bandung,-6.8671292,107.5916339,restaurant
8735,32,JAWA BARAT,3273,KOTA BANDUNG,LET'S EAT BANDUNG,JL. GEGER ARUM,2024,Gegerkalong,Kabupaten Bandung,-6.8601713,107.5856548,restaurant
8736,32,JAWA BARAT,3273,KOTA BANDUNG,DEMIR TURKISH RESTAURANT,JL. GEGERKALONG GIRANG NO.20,2024,Gegerkalong,Kabupaten Bandung,-6.8618426,107.583841,restaurant
8738,32,JAWA BARAT,3273,KOTA BANDUNG,HAGET FRIED CHICKEN,JL. SERSAN BAJURI NO.95,2024,Isola,Kabupaten Bandung,-6.8572735,107.5936152,restaurant
8744,32,JAWA BARAT,3273,KOTA BANDUNG,KANMURA,JL. SERSAN BAJURI NO.36,2024,Isola,Kabupaten Bandung,-6.8572735,107.5936152,restaurant
8745,32,JAWA BARAT,3273,KOTA BANDUNG,HÄAGEN-DAZS,JL. DR. SETIABUDI,2024,Isola,Kabupaten Bandung,-6.8594531,107.5948261,restaurant
8747,32,JAWA BARAT,3273,KOTA BANDUNG,HARMONY - BAKMI & DIMSUM,JL. SERSAN BAJURI NO.36,2024,Isola,Kabupaten Bandung,-6.8572735,107.5936152,restaurant
