nama,alamat,kecamatan,kelurahan,latitude,longitude,tahun,type,additional_info,source_dataset
RANDOM APPAREL STORE,JL. WASTUKENCANA GG. NANGKASUNI NO. 1,Bandung Wetan,Tamansari,-6.905030747265724,107.60714650971684,2021,tourism_shopping_place,,wisata_belanja
HOUSE OF SMITH - BANDUNG SULTAN AGUNG,JL. SULTAN AGUNG NO. 27,Bandung Wetan,Citarum,-6.90360685810929,107.61284753691967,2021,tourism_shopping_place,,wisata_belanja
INSURGENT CLUB'S FLAGSHIP STORE,JL. SULTAN AGUNG NO. 27,Bandung Wetan,Citarum,-6.9037240196200536,107.61290118130078,2021,tourism_shopping_place,,wisata_belanja
BLJK BLACKJACK STORE,JL. TRUNOJOYO NO. 28,Bandung Wetan,Citarum,-6.903737333628094,107.61331155903618,2021,tourism_shopping_place,,wisata_belanja
GEOFF MAX FOOTWEAR,JL. TRUNOJOYO NO. 15,Bandung Wetan,Citarum,-6.904605393186797,107.61297360063118,2021,tourism_shopping_place,,wisata_belanja
BLOODS CONCEPT STORE,JL. SULTAN AGUNG,Bandung Wetan,Citarum,-6.90459474193543,107.61189132941658,2021,tourism_shopping_place,,wisata_belanja
COSMIC CLOTHES,JL. SULTAN AGUNG NO. 7,Bandung Wetan,Citarum,-6.9047288782562655,107.61164356037447,2021,tourism_shopping_place,,wisata_belanja
PAPERSMOOTH,JL. SULTAN AGUNG,Bandung Wetan,Citarum,-6.904835388771824,107.61134583507936,2021,tourism_shopping_place,,wisata_belanja
BLACK ID CLOTHING,JL. SULTAN AGUNG NO. 3C,Bandung Wetan,Citarum,-6.905054566527386,107.61137114851095,2021,tourism_shopping_place,,wisata_belanja
KICK DENIM,JL. SULTAN AGUNG NO.3C,Bandung Wetan,Citarum,-6.904995986046634,107.6113067752027,2021,tourism_shopping_place,,wisata_belanja
EVIL ARMY,JL. SULTAN AGUNG NO. 5,Bandung Wetan,Citarum,-6.904833557618647,107.61151330528364,2021,tourism_shopping_place,,wisata_belanja
POPCULINE,JL. TRUNOJOYO NO. 6,Bandung Wetan,Citarum,-6.905984028336645,107.61308223259783,2021,tourism_shopping_place,,wisata_belanja
MISCHIEF DENIM STUDIO,JL. L. L. R. E. MARTADINATA NO.70,Bandung Wetan,Citarum,-6.905820604448319,107.62084693460542,2021,tourism_shopping_place,,wisata_belanja
UNITED HART FLAGSHIP STORE,JL. SULTAN TIRTAYASA NO. 30,Bandung Wetan,Citarum,-6.903371652184566,107.6145399913233,2021,tourism_shopping_place,,wisata_belanja
HRCN,JL. SULTAN AGUNG NO. 7,Bandung Wetan,Citarum,-6.9045308308899225,107.6116318276395,2021,tourism_shopping_place,,wisata_belanja
NORDHENBASIC,JL. BAHUREKSA NO. 20,Bandung Wetan,Citarum,-6.9052337986489,107.61511869524249,2021,tourism_shopping_place,,wisata_belanja
VISVAL STORE,JL. BANDA NO. 25,Bandung Wetan,Citarum,-6.904472253617088,107.61636137414592,2021,tourism_shopping_place,,wisata_belanja
MATERNAL DISASTER STORE,JL. WIRA ANGUN NO.4B,Bandung Wetan,Citarum,-6.903375104517433,107.6139903220784,2021,tourism_shopping_place,,wisata_belanja
ROUGHNECK 1991 STORE BANDUNG,JL. BAHUREKSA NO. 5,Bandung Wetan,Citarum,-6.905109984578482,107.61411398024684,2021,tourism_shopping_place,,wisata_belanja
RECLAYS OFFICIAL STORE,JL. TRUNOJOYO NO. 23,Bandung Wetan,Citarum,-6.9027887244490405,107.61342130429122,2021,tourism_shopping_place,,wisata_belanja
POT MEETS POP DENIM,JL. BAHUREKSA NO. 20,Bandung Wetan,Citarum,-6.905330705376133,107.61506403558182,2021,tourism_shopping_place,,wisata_belanja
GREENLIGHT FAMO,JL. MARGONDA RAYA NO. 214,Bandung Wetan,Kemirimuka,-6.377594057081619,106.8318638104152,2021,tourism_shopping_place,,wisata_belanja
BLOODS MAINSTORE,JL. SULTAN AGUNG NO. 25,Bandung Wetan,Citarum,-6.9035722962860655,107.61271780537948,2021,tourism_shopping_place,,wisata_belanja
WADEZIG! OFFLINE STORE,JL. TRUNOJOYO NO. 4,Bandung Wetan,Citarum,-6.906095510668606,107.6128968343408,2021,tourism_shopping_place,,wisata_belanja
BLACKID CARTEL,JL. SULTAN AGUNG NO. 3C,Bandung Wetan,Citarum,-6.9049015953116255,107.6112988903352,2021,tourism_shopping_place,,wisata_belanja
GUMMO,JL. SULTAN AGUNG NO. 13,Bandung Wetan,Citarum,-6.9040012516997455,107.6122232067519,2021,tourism_shopping_place,,wisata_belanja
BATIK DANAR HADI,JL. L. L. R. E. MARTADINATA NO. 60,Bandung Wetan,Citarum,-6.90580320770528,107.62012181871977,2021,tourism_shopping_place,,wisata_belanja
CALLA THE LABEL,JL. BENGAWAN NO. 45,Bandung Wetan,Cihapit,-6.910566654765937,107.6292651470367,2021,tourism_shopping_place,,wisata_belanja
COSMIC CLOTHING,JL. TRUNOJOYO NO. 4,Bandung Wetan,Citarum,-6.905901079743472,107.61302678110648,2021,tourism_shopping_place,,wisata_belanja
URBAN CLOTH,JL. L. L. R. E. MARTADINATA NO. 57,Bandung Wetan,Citarum,-6.905789046799411,107.6158972865156,2021,tourism_shopping_place,,wisata_belanja
