id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,kategori,jumlah,satuan,tahun
79,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,RUMAH MAKAN,30309216,RUPIAH,2020
80,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,RUMAH MAKAN,288418478,RUPIAH,2020
81,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,RUMAH MAKAN,173822066,RUPIAH,2020
82,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,RUMAH MAKAN,105790406,RUPIAH,2020
83,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,RUMAH MAKAN,125330535,RUPIAH,2020
84,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,RUMAH MAKAN,215282304,RUPIAH,2020
85,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,RESTORAN,32737573264,RUPIAH,2020
86,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,RESTORAN,28707004897,RUPIAH,2020
87,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,RESTORAN,25552305723,RUPIAH,2020
88,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,RESTORAN,10699438875,RUPIAH,2020
89,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,RESTORAN,6078920351,RUPIAH,2020
90,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,RESTORAN,9344137118,RUPIAH,2020
91,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,RESTORAN,14250961836,RUPIAH,2020
92,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,RESTORAN,14319990989,RUPIAH,2020
93,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,RESTORAN,15179245644,RUPIAH,2020
94,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,RESTORAN,13445977461,RUPIAH,2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,RESTORAN,15469583873,RUPIAH,2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,RESTORAN,17451815777,RUPIAH,2020
97,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KATERING,381690436,RUPIAH,2020
98,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KATERING,495649856,RUPIAH,2020
99,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KATERING,557253912,RUPIAH,2020
100,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KATERING,582305770,RUPIAH,2020
101,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KATERING,174135606,RUPIAH,2020
102,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KATERING,302171147,RUPIAH,2020
103,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KATERING,583348281,RUPIAH,2020
104,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KATERING,313965971,RUPIAH,2020
105,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KATERING,378344070,RUPIAH,2020
106,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KATERING,652281220,RUPIAH,2020
107,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KATERING,1753514470,RUPIAH,2020
108,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KATERING,1349917477,RUPIAH,2020
109,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,RESTORAN,16033346064,RUPIAH,2021
110,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,RESTORAN,13817548039,RUPIAH,2021
111,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,RESTORAN,14259233586,RUPIAH,2021
112,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,RESTORAN,17804975039,RUPIAH,2021
113,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,RESTORAN,17179492614,RUPIAH,2021
114,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,RESTORAN,22889323356,RUPIAH,2021
115,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,RESTORAN,13037212326,RUPIAH,2021
116,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,RESTORAN,11223707357,RUPIAH,2021
117,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,RESTORAN,13738035884,RUPIAH,2021
118,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,RESTORAN,16645651498,RUPIAH,2021
119,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,RESTORAN,22318460716,RUPIAH,2021
120,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,RESTORAN,22719811890,RUPIAH,2021
121,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KATERING,191308591,RUPIAH,2021
122,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KATERING,197853576,RUPIAH,2021
123,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KATERING,418254777,RUPIAH,2021
124,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KATERING,736231558,RUPIAH,2021
125,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KATERING,414544334,RUPIAH,2021
126,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KATERING,546753764,RUPIAH,2021
127,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KATERING,417655932,RUPIAH,2021
128,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KATERING,389935518,RUPIAH,2021
129,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KATERING,490606894,RUPIAH,2021
130,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KATERING,528799770,RUPIAH,2021
131,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KATERING,1433105829,RUPIAH,2021
132,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KATERING,1148446395,RUPIAH,2021
133,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,RESTORAN,25389922747,RUPIAH,2022
134,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,RESTORAN,25249665124,RUPIAH,2022
135,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,RESTORAN,26373431730,RUPIAH,2022
136,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,RESTORAN,22373747367,RUPIAH,2022
137,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,RESTORAN,25868387417,RUPIAH,2022
138,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,RESTORAN,33906890238,RUPIAH,2022
