nama,alamat,kecamatan,type,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
EPISODE,JL. IR. H. JUANDA NO. 125,Coblong,tourism_shopping,115273.0,7.31,15769.22
MACADAMIA LITTLE GLAMZ,JL. BAHUREKSA NO.12,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
RABBANI KEMKO BUAH BATU,JL. BUAH BATU NO. 150,Lengkong,tourism_shopping,71000.0,5.91,12013.54
GANI FACTORY OUTLET,JL. A.H. NASUTION KM 10 NO. 6-8,Ujungberung,tourism_shopping,90562.0,6.24,14513.14
HOUSE OF DONATELLO,JL. IR. H. JUANDA NO. 104,Coblong,tourism_shopping,115273.0,7.31,15769.22
FACTORY OUTLET TOMKINS,JL. GEDEBAGE SELATAN NO. 95,Gedebage,tourism_shopping,42071.0,9.96,4224.0
HYPESTORE,JL. CIHAMPELAS NO. 178,Coblong,tourism_shopping,115273.0,7.31,15769.22
C29 FACTORY OUTLET,JL. CIGONDEWAH KIDUL NO. 29,Bandung Kulon,tourism_shopping,136622.0,6.95,19657.84
PUMA OUTLET,JL. IR. H. JUANDA NO. 119,Coblong,tourism_shopping,115273.0,7.31,15769.22
FACTORY OUTLET JBA,JL. TERUSAN KIPO KM. 13 NO. 367,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
DEMOSS WISATA BERBELANJA BUAH BATU,JL. BUAH BATU NO. 149,Lengkong,tourism_shopping,71000.0,5.91,12013.54
PERAHU JEANS FASHION OUTLET,JL. CIHAMPELAS,Coblong,tourism_shopping,115273.0,7.31,15769.22
MINIMAL RUMAH MODE,JL. DR. SETIABUDI NO. 41,Sukasari,tourism_shopping,77576.0,6.36,12197.48
GRANDE FACTORY OUTLET,JL. RAYA PAJAJARAN NO. 76,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
LEVEL,JL. H. JUANDA NO. 138,Coblong,tourism_shopping,115273.0,7.31,15769.22
RENARITTI,JL. L. L. R. E. MARTADINATA NO. 26,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
FO WARUNG GAUL,JL. CIHAMPELAS NO. 151,Coblong,tourism_shopping,115273.0,7.31,15769.22
SCH SULTAN AGUNG,JL. SULTAN AGUNG NO. 3,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
ADIDAS SURAPATI,JL. SURAPATI NO. 61,Coblong,tourism_shopping,115273.0,7.31,15769.22
VESSEL STORE,JL. TRUNOJOYO NO. 23,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
GUDANG GARMENT JL. JAKARTA,JL. JAKARTA NO.8,Batununggal,tourism_shopping,121469.0,4.82,25201.04
GUDANG GARMENT,JL. A.H. NASUTION NO. 76,Mandalajati,tourism_shopping,73956.0,4.8,15407.5
TC7 STORE,JL. TAMAN CEMP. NO.7,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
HAPPY GO LUCKY,JL. CILIWUNG NO. 14,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
GUDANG GARMENT TOHA,JL. MOH. TOHA NO. 106,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
KING KONG JEANS,JL. CIHAMPELAS NO. 166A,Coblong,tourism_shopping,115273.0,7.31,15769.22
RABBANI,JL. DIPATIUKUR NO. 44,Coblong,tourism_shopping,115273.0,7.31,15769.22
ALISHA FANCY SHOP,JL. SALENDRO UTARA NO. 27,Lengkong,tourism_shopping,71000.0,5.91,12013.54
CROCS,JL. L. LÂ  R. R. MARTADINATA NO. 32,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
NS FACTORY OUTLET,JL. DEWI SARTIKA NO. 65,Regol,tourism_shopping,80609.0,4.74,17006.12
STOP N SHOP FACTORY OUTLET,JL. INSINYUR H. JUANDA NO. 152,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
SHAFIRA BUAH BATU,JL. BUAH BATU NO. 165 B,Lengkong,tourism_shopping,71000.0,5.91,12013.54
MR BEAN FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 57,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
CISANGKUY FACTORY OUTLET,JL. CISANGKUY NO. 58,Cibeunying Kaler,tourism_shopping,70662.0,4.64,15228.88
JETSET FACTORY OUTLET,JL. IR. H. JUANDA NO. 116,Coblong,tourism_shopping,115273.0,7.31,15769.22
CALAMUS FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 81,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
TOKO DAPUR BUNDA - FACTORY OUTLET,JL. LODAYA NO. 55,Lengkong,tourism_shopping,71000.0,5.91,12013.54
SPORT STATION TRUNOJOYO,JL. TRUNOJOYO NO.7,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
JOKOWOW FACTORY OUTLET,JL. CIHAMPELAS NO. 174,Sukajadi,tourism_shopping,103066.0,5.28,19520.08
GRANDE FASHION & GALLERY,JL. CIHAMPELAS NO.186,Coblong,tourism_shopping,115273.0,7.31,15769.22
CHERRY FACTORY OUTLET,JL. GEGERKALOOHILIR NO. 18,Sukajadi,tourism_shopping,103066.0,5.28,19520.08
MIKHAYLA KIDS FACTORY OUTLET BATUSANGKAR,JL. SOEKARNO HATTA NO. 2,Cibiru,tourism_shopping,76236.0,6.84,11145.61
BARUNI BATIK GALLERY,JL. BUAH BATU NO.87,Lengkong,tourism_shopping,71000.0,5.91,12013.54
CUCI GUDANG BARANG BRANDED,JL. TAMAN KOPO INDAH I,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
FOJBA FACTOR OUTLET,JL. TERUSAN KOPO,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
JULIEN BIG SIZE,JL. VETERAN NO. 17-B,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
THE SPORTS WAREHOUSE,JL. BRAGA NO. 91,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
