id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun
74,32,JAWA BARAT,3273,KOTA BANDUNG,BLACK GROUND CAFE & EATERY,JL. BANCEUY NO.3,2020
75,32,JAWA BARAT,3273,KOTA BANDUNG,VICTORIA BAKERY,JL. PAGAR GUNUNG NO.2,2020
76,32,JAWA BARAT,3273,KOTA BANDUNG,URBAN STORY,JL. LINGGAWASTU NO. 8,2020
77,32,JAWA BARAT,3273,KOTA BANDUNG,THE MILK BAR,JL. SULTAN TIRTAYASA NO.27,2020
78,32,JAWA BARAT,3273,KOTA BANDUNG,SVBLIMINAL STUDIO & CAFE,JL. WIRA ANGGUN,2020
79,32,JAWA BARAT,3273,KOTA BANDUNG,GRIND JOE COFFEE,JL. IR. H. JUANDA NO.69,2020
80,32,JAWA BARAT,3273,KOTA BANDUNG,OLD BEN'S DAGO,JL. DIPONEGORO NO.3A,2020
81,32,JAWA BARAT,3273,KOTA BANDUNG,BYRON SELECTIVE,JL. PROGO NO.2,2020
82,32,JAWA BARAT,3273,KOTA BANDUNG,YUMAJU COFFEE,JL. MAULANA YUSUF NO.10,2020
83,32,JAWA BARAT,3273,KOTA BANDUNG,U&KL KITCHEN,JL TRUNOJOYO NO.4,2020
84,32,JAWA BARAT,3273,KOTA BANDUNG,AMORE GELATO & COFFEE,JL. L. L. R. E. MARTADINATA NO.69,2020
85,32,JAWA BARAT,3273,KOTA BANDUNG,NAKED BROWN COFFEE & PAIRINGS,JL. TRUNOJOYO NO.22,2020
86,32,JAWA BARAT,3273,KOTA BANDUNG,PREANGER POINT AT CENTROPUNTO,JL. TRUNOJOYO NO.58,2020
87,32,JAWA BARAT,3273,KOTA BANDUNG,WHATEVER COFFEE AND BAR,JL. DIPONEGORO NO.09,2020
88,32,JAWA BARAT,3273,KOTA BANDUNG,SALATRI 13 CAFE,JL. SULTAN AGUNG NO.13,2020
89,32,JAWA BARAT,3273,KOTA BANDUNG,ETC STEAK,JL. TRUNOJOYO NO.40,2020
90,32,JAWA BARAT,3273,KOTA BANDUNG,CUPS (COFFEE & KITCHEN),JL. TRUNOJOYO NO.25,2020
91,32,JAWA BARAT,3273,KOTA BANDUNG,SMASH & SHAKE,JL. SULANJANA NO.1,2020
92,32,JAWA BARAT,3273,KOTA BANDUNG,ALLURE CAFE,JL. L. L. R. E. MARTADINATA NO.65,2020
93,32,JAWA BARAT,3273,KOTA BANDUNG,HAWAYU COFFEESHOP,JL. RANGGAGADING NO.8,2020
94,32,JAWA BARAT,3273,KOTA BANDUNG,UCOK DURIAN ASLI MEDAN,JL. SULTAN TIRTAYASA NO. 24,2020
