nama,alamat,kecamatan,type,latitude,longitude,tahun,source_file
JAYA PLAZA,JL. JEND. AHMAD YANI NO. 238,Batununggal,tourism_shopping,-6.917657329259269,107.62659842430485,2021,cleaned_objek_wisata_belanja.csv
THE PLAZA IBCC,JL. JEND AHMAD YANI NO. 296,Batununggal,tourism_shopping,-6.915313975997785,107.63342472235416,2021,cleaned_objek_wisata_belanja.csv
ITC KEBON KELAPA,JL. MOH. TOHA JL. PUNGKUR,Batununggal,tourism_shopping,-6.915313975997785,107.63342472235416,2021,cleaned_objek_wisata_belanja.csv
RAJAWALI PLAZA,JL. RAJAWALI TIMUR NO. 27,Andir,tourism_shopping,-6.915876683103376,107.58891379324648,2021,cleaned_objek_wisata_belanja.csv
BUAH BATU SQUARE,JL. RAYA BOJONGSOANG NO. 321,Bandung Wetan,tourism_shopping,-6.966452513855623,107.63804152790944,2021,cleaned_objek_wisata_belanja.csv
RAMAYANA,JL. ASTANA ANYAR NO. 186,Astanaanyar,tourism_shopping,-6.92688126311042,107.5998676354403,2021,cleaned_objek_wisata_belanja.csv
YOGYA SUNDA,JL. SUNDA NO. 60,Sumur Bandung,tourism_shopping,-6.9178196094115565,107.61826415056704,2021,cleaned_objek_wisata_belanja.csv
RUMAH MODE FACTORY OUTLET,JL. DR. SETIABUDI NO. 41,Cidadap,tourism_shopping,-6.876233328556991,107.6010442257491,2021,cleaned_objek_wisata_belanja.csv
BLOSSOM,JL. IR. H. JUANDA NO. 112,Coblong,tourism_shopping,-6.889413936012234,107.61358346500812,2021,cleaned_objek_wisata_belanja.csv
MERDEKA ARCADE FACTORY OUTLET,JL. MERDEKA NO. 35,Bandung Wetan,tourism_shopping,-6.90627142405612,107.61051262087368,2021,cleaned_objek_wisata_belanja.csv
MORNING DEW FACTORY OUTLET,JL. IR. H. JUANDA NO. 81,Coblong,tourism_shopping,-6.893907569742586,107.611940791486,2021,cleaned_objek_wisata_belanja.csv
