kecamatan,nama_taman,luas
BOJONGLOA KALER,TAMAN PASEBAN/KENCANA TIMUR,418
BOJONGLOA KALER,TAMAN SUDIRMAN/JAMIKA,286.6
BOJONGLOA KALER,TAMAN PAGARSIH/JAMIKA,151
BOJONGLOA KALER,JALUR HIJAU UNDAK KENCANA,84
BOJONGLOA KALER,TAMAN RW.04 KEL. KOPO,80
BOJONGLOA KALER,TAMAN BOJONGLOA / TUKANG RAMPE,68
BOJONGLOA KALER,TAMAN BABAKAN CIPARAY,35
BOJONGLOA KALER,TAMAN TITISAN KENCANA,16
BOJONGLOA KIDUL,TAMAN CIBADUYUT/SOEKARNO HATTA,182.5
BOJONGLOA KIDUL,TAMAN RW.02 KOMP. CIBADUYUT PERMAI,150
BOJONGLOA KIDUL,TAMAN KOPO/ SOEKARNO HATTA,148
BOJONGLOA KIDUL,TAMAN LINGKAR SELATAN/KOPO,128
BOJONGLOA KIDUL,TAMAN JL. MUARA SARI RW. 11 KEL. KEBONLEGA,100
BOJONGLOA KIDUL,TAMAN LEUWIPANJANG/LINGKAR SELATAN,90.7
BUAHBATU,TAMAN BLOK K,3879
BUAHBATU,TAMAN BLOK Q A,1637
BUAHBATU,TAMAN BLOK E II,1539
BUAHBATU,TAMAN BLOK A DAN B,1499
BUAHBATU,TAMAN BLOK P,1486
BUAHBATU,TAMAN BLOK Y A,1182
BUAHBATU,TAMAN RANCABOLANG,1175
BUAHBATU,TAMAN BLOK R A,1010.22
BUAHBATU,TAMAN BLOK W,980
BUAHBATU,TAMAN BLOK D II C,948
BUAHBATU,TAMAN BLOK R/O,938.55
BUAHBATU,TAMAN BLOK D II I,902
BUAHBATU,TAMAN BLOK B B,900
BUAHBATU,TAMAN BLOK P C,800
BUAHBATU,TAMAN BLOK S A,706.46
BUAHBATU,TAMAN BLOK S B,680
BUAHBATU,TAMAN BLOK D II A,670
BUAHBATU,TAMAN BLOK D II D,649
BUAHBATU,TAMAN BLOK Q B,648
BUAHBATU,TAMAN BLOK N,600
BUAHBATU,TAMAN SARINAH BLOK G,476
BUAHBATU,TAMAN BLOK Z A,460
BUAHBATU,TAMAN BLOK D II J,456
BUAHBATU,TAMAN BLOK D II G,437
BUAHBATU,TAMAN BLOK D II H,413
BUAHBATU,TAMAN BLOK Q C,408
BUAHBATU,TAMAN BLOK P A,376.49
BUAHBATU,TAMAN BLOK B A,349
BUAHBATU,TAMAN BLOK R B,320.64
BUAHBATU,TAMAN BLOK P B,298.11
BUAHBATU,TAMAN BLOK U,236
BUAHBATU,TAMAN BLOK D II F,190
BUAHBATU,TAMAN DI JL. BUNGA BAKUNG RW. 07,150
BUAHBATU,TAMAN BLOK O,147.23
BUAHBATU,TAMAN JUPITER UTAMA,92
BUAHBATU,TAMAN BLOK D II E,80
BUAHBATU,TAMAN BLOK D II B,60
CIBEUNYING KALER,LAPANG TIKUKUR,12500
CIBEUNYING KALER,LAPANGAN OLAHRAGA,5878
CIBEUNYING KALER,JALUR PAHLAWAN,3000
